id	item_id	item_type_id	serial_number	owner	register_number	model	manufacturer	place_id	situation_id	acquisition_date	maintenance_date	calibration_date	observation
159	3	8	14520023	PNBOIA	135	WINDSONIC	GILL	4	0				AVARIADO
160	4	19	01088910SKY3A03	PNBOIA	184	IDP-690	SKYWAVE	4	1				
161	4	19	01088914SKY4A17	PNBOIA	147	IDP-690	SKYWAVE	4	1	18/06/2015			
162	4	19	01088912SKY420D	PNBOIA	183	IDP-690	SKYWAVE	4	1				
163	4	19	01088903SKY9DE0	PNBOIA	145	IDP-690	SKYWAVE	4	1	18/06/2015			Firmware Atualizado - V. 5.3.0 20/10/2020 | N. 285
164	4	19	01088905SKYA5EA	PNBOIA	182	IDP-690	SKYWAVE	4	1				
165	4	19	01088907SKYADF4	PNBOIA	146	IDP-690	SKYWAVE	4	1	18/06/2015			Firmware Atualizado - V. 5.3.0 20/10/2020 N.290
166	2	7		PNBOIA	4		MINIPA	5	1				
167	2	7		PNBOIA	5		MINIPA	5	1				
168	3	9	61441798	PNBOIA	46	MP101A	ROTRONIC	6	1			11/08/2020	Avariado
169	3	12	1560009729	PNBOIA	68	M660	Carmanah	6	1				Regarregada em 03SET19
170	3	17	TAS 2620	PNBOIA	111	TRIAXYS G1	AXYS	6	1				
171	5	20	WMT0275			WMAN TX	AXYS	6	1				
172	3	16	AQP4175	PNBOIA	112	AQUADOPP 400khz	NORTEK	6	1			12/08/2019	
173	3	8	135435	PNBOIA	13	50103	RM YOUNG	7	1			12/08/2020	Necessário realizar teste
174	3	9	61441790	PNBOIA	47	MP101A	ROTRONIC	7	1			11/08/2020	Necessário realizar teste
175	3	13	H0530003	PNBOIA	85	PTB110	VAISALA	7	1			12/08/2020	
176	3	17	TAS 03460			TRIAXYS G1	AXYS	7	1				
177	1	1		PNBOIA	1	THINKPAD	LENOVO	8	1				
178	1	1		PNBOIA	2	THINKPAD	LENOVO	8	1				
179	2	6		PNBOIA	3	PT-H110	BROTHER	8	1				
180	6	21	01-107	PNBOIA	8	WTM-500	AXYS		1				instalada no módulo pbboia/00008
181	6	21	01-108	PNBOIA	148	WTM-500	AXYS		1				instalada no módulo pbboia/00149
182	6	21	01-106	PNBOIA	151	WTM-500	AXYS		1				instalada no módulo pbboia/00152
183	6	21	163	PNBOIA	154	WTM-500	AXYS		1				
184	3	14	141068	PNBOIA	179	03N65747-E	ELTA		1				
185	3	14	80826	PNBOIA	180	03N65747-E	ELTA		1				
186	3	8	12340024	PNBOIA	139				1				

