id	item_type_id	serial_number	owner	register_number	model	manufacturer	place_id	situation_id	foto	manual	datasheet	acquisition_date	maintenance_date	calibration_date	observation
56	17	TAS 05411	PNBOIA	172	TRIAXYS G1	AXYS	2	1	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7_1I0hQluwgb_jR1Ha7zqVkqu0dluEzXC-w&usqp=CAU	http://www.neracoos.org/sites/neracoos.org/files/documents/Appendix%20B%20-TRIAXYS%20Directional%20Wave%20Sensor%20Manual.pdf	https://axystechnologies.com/wp-content/uploads/2017/01/TRIAXYS-g3-Sensor.pdf				
57	22	631536	PNBOIA	162		L3 COMMUNICATIONS	2	1	https://usermanual.wiki/L3-Technologies/0ATN01.additional-info/User-Guide-1025160-Page-1.png	https://usermanual.wiki/L3-Technologies/0ATN01.additional-info-1025160.pdf					
58	22	696156	PNBOIA	163		L3 COMMUNICATIONS	2	1	https://usermanual.wiki/L3-Technologies/0ATN01.additional-info/User-Guide-1025160-Page-1.png	https://usermanual.wiki/L3-Technologies/0ATN01.additional-info-1025160.pdf					
59	22	631533	PNBOIA	164		L3 COMMUNICATIONS	2	1	https://usermanual.wiki/L3-Technologies/0ATN01.additional-info/User-Guide-1025160-Page-1.png	https://usermanual.wiki/L3-Technologies/0ATN01.additional-info-1025160.pdf					
60	22	945494	PNBOIA	171		L3 COMMUNICATIONS	2	1	https://usermanual.wiki/L3-Technologies/0ATN01.additional-info/User-Guide-1025160-Page-1.png	https://usermanual.wiki/L3-Technologies/0ATN01.additional-info-1025160.pdf					
61	22	655445	PNBOIA	181		L3 COMMUNICATIONS	2	1	https://usermanual.wiki/L3-Technologies/0ATN01.additional-info/User-Guide-1025160-Page-1.png	https://usermanual.wiki/L3-Technologies/0ATN01.additional-info-1025160.pdf					
62	12	1560009723	PNBOIA	65	M660	Carmanah	3	1	https://marine.sabik.com/images/virtuemart/product/M660_product_black.jpg	https://fccid.io/2AJI5-CMH660/User-Manual/user-manual-3155700	https://marine.sabik.com/docman-file-listing/372-datasheet-m660				Regarregada em 03SET19
63	12	1560009727	PNBOIA	63	M660	Carmanah	3	1	https://marine.sabik.com/images/virtuemart/product/M660_product_black.jpg	https://fccid.io/2AJI5-CMH660/User-Manual/user-manual-3155700	https://marine.sabik.com/docman-file-listing/372-datasheet-m660				Regarregada em 03SET19
64	12	1560009731	PNBOIA	66	M660	Carmanah	3	1	https://marine.sabik.com/images/virtuemart/product/M660_product_black.jpg	https://fccid.io/2AJI5-CMH660/User-Manual/user-manual-3155700	https://marine.sabik.com/docman-file-listing/372-datasheet-m660				Regarregada em 03SET19
65	12	1560009728	PNBOIA	70	M660	Carmanah	3	1	https://marine.sabik.com/images/virtuemart/product/M660_product_black.jpg	https://fccid.io/2AJI5-CMH660/User-Manual/user-manual-3155700	https://marine.sabik.com/docman-file-listing/372-datasheet-m660				Regarregada em 03SET19
66	12	1560009726	PNBOIA	69	M660	Carmanah	3	1	https://marine.sabik.com/images/virtuemart/product/M660_product_black.jpg	https://fccid.io/2AJI5-CMH660/User-Manual/user-manual-3155700	https://marine.sabik.com/docman-file-listing/372-datasheet-m660				Regarregada em 03SET19
67	12	1560009724	PNBOIA	67	M660	Carmanah	3	1	https://marine.sabik.com/images/virtuemart/product/M660_product_black.jpg	https://fccid.io/2AJI5-CMH660/User-Manual/user-manual-3155700	https://marine.sabik.com/docman-file-listing/372-datasheet-m660				Regarregada em 03SET19
68	12	1560009722	PNBOIA	64	M660	Carmanah	3	1	https://marine.sabik.com/images/virtuemart/product/M660_product_black.jpg	https://fccid.io/2AJI5-CMH660/User-Manual/user-manual-3155700	https://marine.sabik.com/docman-file-listing/372-datasheet-m660				
69	12	408449	PNBOIA	58	M700 SERIES	Carmanah	3	1	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSczgK2bnU21-fsKDZ4XVe5jBFMWZFTYQCDqQ&usqp=CAU		http://www.hemvan.com.tw/index.php?module=product&mn=4&f=download&id=50190				
70	12	408618	PNBOIA	55	M700 SERIES	Carmanah	3	1	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSczgK2bnU21-fsKDZ4XVe5jBFMWZFTYQCDqQ&usqp=CAU		http://www.hemvan.com.tw/index.php?module=product&mn=4&f=download&id=50190				
71	12	1360028046	PNBOIA	56	M850 SERIES	Carmanah	3	1	https://marine.sabik.com/images/virtuemart/product/Sabik_M850_1.jpg	https://www.flashtechnology.com/flash/manuals/69928_8XX_User_Manual_RevB.pdf	https://marine.sabik.com/docman-file-listing/773-sabik-marine-datasheet-m850-2020				
72	12	312109	PNBOIA	54	M700 SERIES	Carmanah	3	1	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSczgK2bnU21-fsKDZ4XVe5jBFMWZFTYQCDqQ&usqp=CAU		http://www.hemvan.com.tw/index.php?module=product&mn=4&f=download&id=50190				Necessita troca de baterias e teste
73	12	408452	PNBOIA	62	M700 SERIES	Carmanah	3	1	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSczgK2bnU21-fsKDZ4XVe5jBFMWZFTYQCDqQ&usqp=CAU		http://www.hemvan.com.tw/index.php?module=product&mn=4&f=download&id=50190				Necessita troca de baterias e teste
